Date,Open,High,Low,Close,Adj Close,Volume
12-03-2018,10301.59961,10478.59961,10180.25,10195.15039,10195.15039,1166900
19-03-2018,10215.34961,10227.29981,9951.900391,9998.049805,9998.049805,1134200
26-03-2018,9989.150391,10207.90039,9958.549805,10113.7002,10113.7002,832700
02-04-2018,10151.65039,10350.4502,10111.29981,10331.59961,10331.59961,1098800
09-04-2018,10333.7002,10519.90039,10328.5,10480.59961,10480.59961,1175400
16-04-2018,10398.29981,10594.2002,10396.34961,10564.04981,10564.04981,1113700
23-04-2018,10592.79981,10719.79981,10514.9502,10692.29981,10692.29981,937700
30-04-2018,10705.75,10784.65039,10601.59961,10618.25,10618.25,775200
07-05-2018,10653.15039,10812.04981,10635.65039,10806.5,10806.5,1048800
14-05-2018,10815.15039,10929.2002,10589.09961,10596.40039,10596.40039,1093900
21-05-2018,10616.7002,10628.04981,10417.79981,10605.15039,10605.15039,1091000
28-05-2018,10648.34961,10764.75,10558.4502,10696.2002,10696.2002,1528000
04-06-2018,10765.9502,10818,10550.90039,10767.65039,10767.65039,991700
11-06-2018,10781.84961,10893.25,10755.40039,10817.7002,10817.7002,1112800
18-06-2018,10830.2002,10837,10701.2002,10821.84961,10821.84961,1068000
25-06-2018,10822.90039,10831.04981,10557.7002,10714.29981,10714.29981,1290700
02-07-2018,10732.34961,10816.34961,10604.65039,10772.65039,10772.65039,891900
09-07-2018,10838.29981,11078.29981,10807.15039,11018.90039,11018.90039,851200
16-07-2018,11018.9502,11076.2002,10925.59961,11010.2002,11010.2002,1049300
23-07-2018,11019.84961,11283.40039,11010.9502,11278.34961,11278.34961,1320800
30-07-2018,11296.65039,11390.54981,11234.9502,11360.79981,11360.79981,1233300
06-08-2018,11401.5,11495.2002,11359.7002,11429.5,11429.5,942800
13-08-2018,11369.59961,11486.4502,11340.29981,11470.75,11470.75,1004800
20-08-2018,11502.09961,11620.7002,11499.65039,11557.09961,11557.09961,924100
27-08-2018,11605.84961,11760.2002,11595.59961,11680.5,11680.5,1353300
03-09-2018,11751.79981,11751.79981,11393.84961,11589.09961,11589.09961,1279100
10-09-2018,11570.25,11573,11250.2002,11515.2002,11515.2002,831500
17-09-2018,11464.9502,11464.9502,10866.4502,11143.09961,11143.09961,1411900
24-09-2018,11164.40039,11170.15039,10850.29981,10930.4502,10930.4502,1629300
01-10-2018,10930.90039,11035.65039,10261.90039,10316.4502,10316.4502,1805300
08-10-2018,10310.15039,10492.4502,10138.59961,10472.5,10472.5,1713700
15-10-2018,10524.2002,10710.15039,10249.59961,10303.54981,10303.54981,1167000
22-10-2018,10405.84961,10408.54981,10004.54981,10030,10030,1315600
29-10-2018,10078.09961,10606.9502,10020.34961,10553,10553,1798900
05-11-2018,10558.75,10619.54981,10477,10585.2002,10585.2002,629700
12-11-2018,10607.79981,10695.15039,10440.54981,10682.2002,10682.2002,1241600
19-11-2018,10731.25,10774.7002,10512,10526.75,10526.75,1107700
26-11-2018,10568.29981,10922.4502,10489.75,10876.75,10876.75,1569700
03-12-2018,10930.7002,10941.2002,10588.25,10693.7002,10693.7002,1688400
10-12-2018,10508.7002,10838.59961,10333.84961,10805.4502,10805.4502,1883600
17-12-2018,10853.2002,10985.15039,10738.65039,10754,10754,1591500
24-12-2018,10780.90039,10893.59961,10534.54981,10859.90039,10859.90039,1188700
31-12-2018,10913.2002,10923.54981,10628.65039,10727.34961,10727.34961,1073400
07-01-2019,10804.84961,10870.40039,10733.25,10794.9502,10794.9502,1395300
14-01-2019,10807,10930.65039,10692.34961,10906.9502,10906.9502,1481500
21-01-2019,10919.34961,10987.4502,10756.4502,10780.54981,10780.54981,1713000
28-01-2019,10792.4502,10983.4502,10583.65039,10893.65039,10893.65039,2273800
04-02-2019,10876.75,11118.09961,10814.15039,10943.59961,10943.59961,1501200
11-02-2019,10930.90039,10930.90039,10620.40039,10724.40039,10724.40039,2049200
18-02-2019,10738.65039,10808.84961,10585.65039,10791.65039,10791.65039,1602500
25-02-2019,10813.25,10939.7002,10729.29981,10863.5,10863.5,2134700
04-03-2019,10864.84961,11089.04981,10817,11035.40039,11035.40039,1393600
11-03-2019,11068.75,11487,11059.84961,11426.84961,11426.84961,1884700
18-03-2019,11473.84961,11572.79981,11412.5,11456.90039,11456.90039,1398900
25-03-2019,11395.65039,11630.34961,11311.59961,11623.90039,11623.90039,1871500
01-04-2019,11665.2002,11761,11559.2002,11665.9502,11665.9502,1747200
08-04-2019,11704.34961,11710.29981,11549.09961,11643.4502,11643.4502,1447100
15-04-2019,11667,11856.15039,11648.25,11752.79981,11752.79981,984000
22-04-2019,11727.04981,11796.75,11564.79981,11754.65039,11754.65039,1806000
29-04-2019,11748.75,11789.29981,11655.90039,11712.25,11712.25,1218400
06-05-2019,11605.79981,11657.04981,11251.04981,11278.90039,11278.90039,1769600
13-05-2019,11258.7002,11426.15039,11108.29981,11407.15039,11407.15039,1932700
20-05-2019,11651.90039,12041.15039,11591.7002,11844.09961,11844.09961,2132600
27-05-2019,11855.5,12039.25,11812.40039,11922.79981,11922.79981,2124900
03-06-2019,11953.75,12103.04981,11769.5,11870.65039,11870.65039,1322200
10-06-2019,11934.90039,12000.34961,11797.7002,11823.29981,11823.29981,1757400
17-06-2019,11844,11844.04981,11625.09961,11724.09961,11724.09961,2018300
24-06-2019,11725.79981,11911.15039,11651,11788.84961,11788.84961,1690100
01-07-2019,11839.90039,11981.75,11797.90039,11811.15039,11811.15039,1846400
08-07-2019,11770.40039,11771.90039,11461,11552.5,11552.5,1920800
15-07-2019,11614.75,11706.65039,11399.29981,11419.25,11419.25,2258100
22-07-2019,11392.84961,11398.15039,11210.04981,11284.29981,11284.29981,2464500
29-07-2019,11307.5,11310.9502,10848.9502,10997.34961,10997.34961,2546000
05-08-2019,10895.79981,11181.4502,10782.59961,11109.65039,11109.65039,2593600
12-08-2019,11139.40039,11145.90039,10901.59961,11047.79981,11047.79981,1607000
19-08-2019,11094.79981,11146.90039,10637.15039,10829.34961,10829.34961,2707400
26-08-2019,11000.29981,11141.75,10756.54981,11023.25,11023.25,3197800
02-09-2019,10960.9502,10967.5,10746.34961,10946.2002,10946.2002,2084700
09-09-2019,10936.7002,11084.4502,10889.79981,11075.90039,11075.90039,2275300
16-09-2019,10994.84961,11381.90039,10670.25,11274.2002,11274.2002,3435100
23-09-2019,11542.7002,11694.84961,11416.09961,11512.40039,11512.40039,3658100
30-09-2019,11491.15039,11554.2002,11158.34961,11174.75,11174.75,4008200
07-10-2019,11196.2002,11362.90039,11090.15039,11305.04981,11305.04981,2774100
14-10-2019,11335.90039,11684.7002,11290.04981,11661.84961,11661.84961,3299500
21-10-2019,11657.15039,11714.34961,11490.75,11583.90039,11583.90039,3044300
28-10-2019,11643.9502,11945,11627.34961,11890.59961,11890.59961,3947000
04-11-2019,11928.90039,12034.15039,11850.25,11908.15039,11908.15039,3410800
11-11-2019,11879.2002,11973.65039,11802.65039,11895.4502,11895.4502,2347700
18-11-2019,11915.15039,12038.59961,11867.59961,11914.40039,11914.40039,2819500
25-11-2019,11922.4502,12158.79981,11919.75,12056.04981,12056.04981,3744700
02-12-2019,12137.04981,12137.15039,11888.84961,11921.5,11921.5,3245300
09-12-2019,11939.09961,12098.84961,11832.29981,12086.7002,12086.7002,3597300
16-12-2019,12131.34961,12293.90039,12046.29981,12271.79981,12271.79981,2890000
23-12-2019,12235.4502,12287.15039,12118.84961,12245.79981,12245.79981,1979200
30-12-2019,12274.90039,12289.90039,12151.79981,12226.65039,12226.65039,1978600
06-01-2020,12170.59961,12311.2002,11929.59961,12256.79981,12256.79981,2428400
13-01-2020,12296.7002,12389.04981,12278.75,12352.34961,12352.34961,2699500
20-01-2020,12430.5,12430.5,12087.90039,12248.25,12248.25,1953400
